tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad
Salida,Extranjero,2020,Enero,1,Hombre,China,Asia Oriental,Asia,Vía Aérea,Turismo,China,Asia Oriental,Asia,Shanghai,China,Asia Oriental,Asia,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,24
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Profesionales de la ensenanza no clasificados bajo otros epigrafes,30
Entrada,Extranjero,2020,Enero,1,Hombre,Uruguay,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Profesores de formacion profesional,61
Entrada,Extranjero,2020,Enero,1,Mujer,Federación de Rusia,Europa Oriental,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Amas de casa,38
Salida,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Newark New Jersey,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Ingenieros no clasificados bajo otros epigrafes,42
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Profesionales de la ensenanza no clasificados bajo otros epigrafes,29
Entrada,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,64
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,México,América Central,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Profesionales de relaciones publicas,58
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Turismo,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Comerciantes de tiendas,32
Entrada,Extranjero,2020,Enero,1,Hombre,Reino Unido,Europa Septentrional,Europa,Vía Aérea,Residencia,Canadá,América del Septentrional,América,Toronto,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Comerciantes de tiendas,55
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Profesionales de la publicidad y la comercializacion,38
Salida,Extranjero,2020,Enero,1,Mujer,Argentina,América del Sur,América,Vía Aérea,Residencia,Argentina,América del Sur,América,Buenos Aires,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Amas de casa,61
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Amas de casa,58
Entrada,Extranjero,2020,Enero,1,Mujer,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,54
Salida,Extranjero,2020,Enero,1,Mujer,Venezuela,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Menores de edad,14
Entrada,Extranjero,2020,Enero,1,Mujer,Brasil,América del Sur,América,Vía Aérea,Residencia,Brasil,América del Sur,América,Río De Janeiro,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Abogados,47
Entrada,Extranjero,2020,Enero,1,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Jubilados y pensionistas,77
Salida,Extranjero,2020,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Denver Colorado,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Estudiantes,24
Salida,Extranjero,2020,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Eventos,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,64
Salida,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Jubilados y pensionistas,74
Salida,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía Aérea,Eventos,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Fotografos,35
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,47
Salida,Extranjero,2020,Enero,1,Hombre,Cuba,"América, El Caribe",América,Vía Aérea,Otros,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,32
Entrada,Extranjero,2020,Enero,1,Hombre,Eslovaquia,Europa Oriental,Europa,Vía Aérea,Turismo,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Atletas y deportistas,44
Entrada,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Inmigrantes 10-VI,Sin especificar,26
Entrada,Extranjero,2020,Enero,1,Mujer,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Estudiantes,23
Entrada,Extranjero,2020,Enero,1,Mujer,Alemania,Europa Occidental,Europa,Vía Aérea,Residencia,Alemania,Europa Occidental,Europa,Berlín,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Amas de casa,25
Entrada,Extranjero,2020,Enero,1,Hombre,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,Holguin,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Menores de edad,8
Entrada,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Contables,49
Salida,Extranjero,2020,Enero,1,Hombre,Venezuela,América del Sur,América,Vía Aérea,Turismo,Venezuela,América del Sur,América,Caracas,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Jubilados y pensionistas,64
Salida,Extranjero,2020,Enero,1,Hombre,Austria,Europa Occidental,Europa,Vía Aérea,Turismo,Francia,Europa Occidental,Europa,Paris,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Oficinistas generales,45
Salida,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía Aérea,Otros,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Estudiantes,22
Entrada,Extranjero,2020,Enero,1,Hombre,Portugal,Europa Meridional,Europa,Vía Aérea,Turismo,México,América Central,América,Chetumal,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,60
Entrada,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Jubilados y pensionistas,64
Entrada,Extranjero,2020,Enero,1,Hombre,España,Europa Meridional,Europa,Vía Aérea,Turismo,España,Europa Meridional,Europa,Madrid,España,Europa Meridional,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Marineros de cubierta y afines,37
Salida,Extranjero,2020,Enero,1,Mujer,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,Guantanamo,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Amas de casa,60
Entrada,Extranjero,2020,Enero,1,Mujer,China,Asia Oriental,Asia,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,48
Salida,Extranjero,2020,Enero,1,Hombre,Haití,"América, El Caribe",América,Vía Aérea,Turismo,México,América Central,América,Cancun,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Menores de edad,14
Entrada,Extranjero,2020,Enero,1,Hombre,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Comerciantes de tiendas,46
Entrada,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Profesionales de la ensenanza no clasificados bajo otros epigrafes,31
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,56
Entrada,Extranjero,2020,Enero,1,Mujer,China,Asia Oriental,Asia,Vía Aérea,Residencia,Canadá,América del Septentrional,América,Toronto,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Comerciantes de tiendas,47
Salida,Extranjero,2020,Enero,1,Mujer,Cuba,"América, El Caribe",América,Vía Aérea,Turismo,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Amas de casa,45
Salida,Extranjero,2020,Enero,1,Mujer,China,Asia Oriental,Asia,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,37
