tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad,pais_esc
Entrada,Extranjero,2019,Enero,1,Mujer,Argentina,América del Sur,América,Vía Aérea,Turismo,Paraguay,América del Sur,América,Asunción,Argentina,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Argentina
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Entrada,Extranjero,2019,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Bogotá Dc,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,1,Mujer,Hungría,Europa Oriental,Europa,Vía Aérea,Residencia,Federación de Rusia,Europa Oriental,Europa,Bratsk,Federación de Rusia,Europa Oriental,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Países Bajos
Salida,Ecuatoriano,2019,Enero,1,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Bolivia,América del Sur,América,Santacruz,Bolivia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Perú
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,San Francisco California,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,República Dominicana,"América, El Caribe",América,Punta Cana,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,República Dominicana,"América, El Caribe",América,Punta Cana,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,1,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Extranjero,2019,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Washington D C,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Extranjero,2019,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,1,Hombre,Italia,Europa Meridional,Europa,Vía Aérea,Residencia,Italia,Europa Meridional,Europa,Roma,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Sin Especificar,Menores de edad,0,España
Entrada,Ecuatoriano,2019,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Salida,Ecuatoriano,2019,Enero,1,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Salida,Extranjero,2019,Enero,2,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Salida,Extranjero,2019,Enero,2,Mujer,Italia,Europa Meridional,Europa,Vía Aérea,Residencia,Guatemala,América Central,América,Guatemala,Guatemala,América Central,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,El Salvador
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,2,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Barranquilla,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,2,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Chile,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Perú
Salida,Extranjero,2019,Enero,2,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Los Ángeles California,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Extranjero,2019,Enero,2,Hombre,Uruguay,América del Sur,América,Vía Aérea,Residencia,Argentina,América del Sur,América,Buenos Aires,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-MER,Menores de edad,0,Perú
Salida,Extranjero,2019,Enero,2,Mujer,Reino Unido,Europa Septentrional,Europa,Vía Aérea,Residencia,Reino Unido,Europa Septentrional,Europa,London,Reino Unido,Europa Septentrional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Argentina
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Argentina,América del Sur,América,Buenos Aires,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Argentina
Salida,Extranjero,2019,Enero,2,Hombre,Irlanda,Europa Septentrional,Europa,Vía Aérea,Turismo,Irlanda,Europa Septentrional,Europa,Cork,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Sin Especificar,Menores de edad,0,Países Bajos
Salida,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,2,Mujer,Argentina,América del Sur,América,Vía Aérea,Residencia,Argentina,América del Sur,América,Buenos Aires,Argentina,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Perú
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Entrada,Extranjero,2019,Enero,2,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-AMP,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,2,Mujer,Países Bajos,Europa Occidental,Europa,Vía Aérea,Residencia,Países Bajos,Europa Occidental,Europa,Amsterdam,Países Bajos,Europa Occidental,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Países Bajos
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,República Dominicana,"América, El Caribe",América,Punta Cana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,República Dominicana,"América, El Caribe",América,Punta Cana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,La Habana,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,Holguin,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,México,América Central,América,Cancun,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Extranjero,2019,Enero,2,Hombre,España,Europa Meridional,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Sin Especificar,Menores de edad,0,España
Salida,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Alemania,Europa Occidental,Europa,Núremberg,Alemania,Europa Occidental,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Países Bajos
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Italia,Europa Meridional,Europa,Milán,Italia,Europa Meridional,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Países Bajos
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Orlando Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Salida,Ecuatoriano,2019,Enero,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Salida,Extranjero,2019,Enero,2,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,2,Hombre,Canadá,América del Septentrional,América,Vía Aérea,Residencia,Canadá,América del Septentrional,América,Toronto,Canadá,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,2,Mujer,Chile,América del Sur,América,Vía Aérea,Eventos,Chile,América del Sur,América,Santiago,Chile,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Chile
Entrada,Ecuatoriano,2019,Enero,2,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Salida,Extranjero,2019,Enero,2,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Houston Texas,Argentina,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Salida,Extranjero,2019,Enero,2,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Ecuatoriano,2019,Enero,3,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Salida,Ecuatoriano,2019,Enero,3,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Salida,Extranjero,2019,Enero,3,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Tampa Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Salida,Ecuatoriano,2019,Enero,3,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Panamá,América Central,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Panamá
Salida,Extranjero,2019,Enero,3,Hombre,República Dominicana,"América, El Caribe",América,Vía Aérea,Residencia,República Dominicana,"América, El Caribe",América,Santo Domingo,República Dominicana,"América, El Caribe",América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,3,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Guatemala,América Central,América,Guatemala,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,3,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Chile,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Chile
Entrada,Extranjero,2019,Enero,3,Hombre,Chile,América del Sur,América,Vía Aérea,Turismo,Chile,América del Sur,América,Santiago,Chile,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Perú
Salida,Extranjero,2019,Enero,3,Mujer,Guatemala,América Central,América,Vía Aérea,Residencia,Guatemala,América Central,América,Guatemala,Guatemala,América Central,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Salida,Extranjero,2019,Enero,3,Mujer,Noruega,Europa Septentrional,Europa,Vía Aérea,Residencia,Noruega,Europa Septentrional,Europa,Oslo,Noruega,Europa Septentrional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Países Bajos
Salida,Extranjero,2019,Enero,3,Mujer,Noruega,Europa Septentrional,Europa,Vía Aérea,Residencia,Noruega,Europa Septentrional,Europa,Oslo,Francia,Europa Occidental,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,España
Salida,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Salida,Extranjero,2019,Enero,3,Mujer,México,América Central,América,Vía Aérea,Residencia,México,América Central,América,Acapulco,México,América Central,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Panamá
Entrada,Ecuatoriano,2019,Enero,3,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Alemania,Europa Occidental,Europa,Dusseldorf,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,España
Entrada,Extranjero,2019,Enero,3,Hombre,España,Europa Meridional,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Sin Especificar,Menores de edad,0,España
Entrada,Extranjero,2019,Enero,3,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Perú
Salida,Ecuatoriano,2019,Enero,3,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,0,Colombia
Salida,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Ecuatoriano,2019,Enero,3,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,0,Estados Unidos de América
Salida,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Otros,Estados Unidos de América,América del Septentrional,América,Miami Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,0,Estados Unidos de América
Entrada,Extranjero,2019,Enero,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-AMP,Menores de edad,0,Colombia
