tip_movi;tip_naci;anio_movi;mes_movi;dia_movi;sex_migr;nac_migr;subcont_nac;cont_nac;via_tran;mot_viam;pais_prod;subcont_prod;cont_prod;lug_prod;pais_res;subcont_res;cont_res;jef_migr;pro_jefm;can_jefm;cla_migr;ocu_migr;edad
Entrada;Extranjero;2021;Enero;1;Hombre;Perú;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Perú;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Sin Especificar;Conductores de automoviles, taxis y camionetas;47
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Conductores de automoviles, taxis y camionetas;67
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Eventos;Costa Rica;América Central;América;Caldera;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Guayaquil;Guayas;Guayaquil;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;54
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Pescadores, cazadores y tramperosPescadores, cazadores y tramperos;53
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;48
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;33
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;60
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;49
Entrada;Ecuatoriano;2021;Enero;1;Mujer;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;34
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Personal de apoyo administrativo no clasificado bajo otros epigrafes;29
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;45
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;39
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Pescadores, cazadores y tramperosPescadores, cazadores y tramperos;32
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;37
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;25
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;37
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Personal de apoyo administrativo no clasificado bajo otros epigrafes;53
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;27
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;34
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;25
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;60
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Otros;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;61
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;33
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;41
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;35
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Personal de apoyo administrativo no clasificado bajo otros epigrafes;65
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;29
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;22
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Residencia;Panamá;América Central;América;Ciudad de Colón;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo La Libertad;Santa Elena;Salinas;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;24
Salida;Extranjero;2021;Enero;1;Mujer;Colombia;América del Sur;América;Vía terrestre;Residencia;Colombia;América del Sur;América;Pasto;Colombia;América del Sur;América;Centro Nacional de Atención Fronteriza Rumichaca;Carchi;Tulcán;Inmigrante RP-REL;Auxiliares laicos de las religiones;49
Salida;Extranjero;2021;Enero;1;Hombre;Estados Unidos de América;América del Septentrional;América;Vía Maritimo;Otros;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Estados Unidos de América;América del Septentrional;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;No inmigrante RT-EXC;Marineros de cubierta y afines;61
Salida;Extranjero;2021;Enero;1;Hombre;Canadá;América del Septentrional;América;Vía Aérea;Residencia;Estados Unidos de América;América del Septentrional;América;Las Vegas Nevada;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Directores generales y gerentes generales;33
Salida;Extranjero;2021;Enero;1;Mujer;Perú;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Perú;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;No inmigrante T-3;Jubilados y pensionistas;67
Entrada;Extranjero;2021;Enero;1;Hombre;Estados Unidos de América;América del Septentrional;América;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Miami Florida;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional José Joaquín de Olmedo;Guayas;Guayaquil;No inmigrante T-3;Otros miembros de las fuerzas armadas;35
Salida;Extranjero;2021;Enero;1;Hombre;Perú;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Perú;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;No inmigrante Tripulante;Capitanes, oficiales de cubierta y practicos;41
Salida;Extranjero;2021;Enero;1;Hombre;Perú;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Perú;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;No inmigrante Tripulante;Capitanes, oficiales de cubierta y practicos;66
Entrada;Extranjero;2021;Enero;1;Hombre;Perú;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Perú;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;No inmigrante Tripulante;Conductores de automoviles, taxis y camionetas;34
Entrada;Extranjero;2021;Enero;1;Mujer;Países Bajos;Europa Occidental;Europa;Vía Aérea;Otros;Chile;América del Sur;América;Santiago;Países Bajos;Europa Occidental;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Capitanes, oficiales de cubierta y practicos;59
Entrada;Extranjero;2021;Enero;1;Hombre;Países Bajos;Europa Occidental;Europa;Vía Aérea;Otros;Chile;América del Sur;América;Santiago;Países Bajos;Europa Occidental;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;50
Entrada;Extranjero;2021;Enero;1;Hombre;Países Bajos;Europa Occidental;Europa;Vía Aérea;Otros;Chile;América del Sur;América;Santiago;Países Bajos;Europa Occidental;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;49
Salida;Extranjero;2021;Enero;1;Hombre;Estados Unidos de América;América del Septentrional;América;Vía Aérea;Residencia;Estados Unidos de América;América del Septentrional;América;Las Vegas Nevada;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;37
Salida;Extranjero;2021;Enero;1;Hombre;España;Europa Meridional;Europa;Vía Aérea;Otros;Panamá;América Central;América;Panamá City;España;Europa Meridional;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;40
Salida;Extranjero;2021;Enero;1;Mujer;Alemania;Europa Occidental;Europa;Vía Aérea;Residencia;Estados Unidos de América;América del Septentrional;América;Las Vegas Nevada;Alemania;Europa Occidental;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Capitanes, oficiales de cubierta y practicos;36
Salida;Extranjero;2021;Enero;1;Hombre;Estados Unidos de América;América del Septentrional;América;Vía Aérea;Residencia;Estados Unidos de América;América del Septentrional;América;Las Vegas Nevada;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Directores generales y gerentes generales;49
Salida;Extranjero;2021;Enero;1;Hombre;Portugal;Europa Meridional;Europa;Vía Aérea;Residencia;Panamá;América Central;América;Panamá City;Portugal;Europa Meridional;Europa;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;35
Entrada;Extranjero;2021;Enero;1;Hombre;Dinamarca;Europa Septentrional;Europa;Vía Aérea;Otros;Argentina;América del Sur;América;Buenos Aires;Catar;Asia Occidental;Asia;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;46
Entrada;Extranjero;2021;Enero;1;Hombre;Brasil;América del Sur;América;Vía Aérea;Turismo;Argentina;América del Sur;América;Buenos Aires;Catar;Asia Occidental;Asia;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante Tripulante;Pilotos de aviacion y afines;34
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;38
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Marineros de cubierta y afines;49
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;42
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;44
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;41
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;26
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;30
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;60
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;60
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;45
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Pescadores, cazadores y tramperosPescadores, cazadores y tramperos;63
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Pescadores, cazadores y tramperosPescadores, cazadores y tramperos;33
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía Maritimo;Turismo;Perú;América del Sur;América;Paita;Ecuador;América del Sur;América;Unidad de Control Migratorio Puerto Marítimo Manta;Manabí;Manta;Clase migratoria para ecuatorianos;Pescadores, cazadores y tramperosPescadores, cazadores y tramperos;30
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;63
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;44
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;53
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;75
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;50
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;39
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;52
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;62
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;44
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;50
Entrada;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;46
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;46
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;46
Salida;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;48
Entrada;Ecuatoriano;2021;Enero;2;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;39
